data,hora,rodovia,km,municipio,tipo,gravidade,latitude,longitude
2019-01-15,17:30:00,101.0,86,NATAL,Colisão lateral,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Colisão lateral,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Colisão lateral,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Colisão lateral,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Colisão lateral,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-07,16:13:00,101.0,95,NATAL,Colisão transversal,Com Vítimas Feridas,-5.840768,-35.210358
2019-01-07,16:13:00,101.0,95,NATAL,Colisão transversal,Com Vítimas Feridas,-5.840768,-35.210358
2019-01-16,16:55:00,101.0,98,NATAL,Colisão traseira,Com Vítimas Feridas,-5.865723,-35.216537
2019-01-16,22:15:00,101.0,83,NATAL,Colisão transversal,Com Vítimas Feridas,-5.771044,-35.266171
2019-01-16,22:15:00,101.0,83,NATAL,Colisão transversal,Com Vítimas Feridas,-5.771044,-35.266171
2019-01-16,22:15:00,101.0,83,NATAL,Colisão transversal,Com Vítimas Feridas,-5.771044,-35.266171
2019-01-17,22:30:00,110.0,51,MOSSORO,Atropelamento de Pedestre,Com Vítimas Feridas,-5.226844,-37.33197
2019-01-17,22:30:00,110.0,51,MOSSORO,Atropelamento de Pedestre,Com Vítimas Feridas,-5.226844,-37.33197
2019-01-17,22:30:00,110.0,51,MOSSORO,Atropelamento de Pedestre,Com Vítimas Feridas,-5.226844,-37.33197
2019-01-17,22:30:00,110.0,51,MOSSORO,Atropelamento de Pedestre,Com Vítimas Feridas,-5.226844,-37.33197
2019-01-18,22:30:00,101.0,97,NATAL,Colisão lateral,Com Vítimas Feridas,-5.857612,-35.212723
2019-01-18,22:30:00,101.0,97,NATAL,Colisão lateral,Com Vítimas Feridas,-5.857612,-35.212723
2019-01-18,22:30:00,101.0,97,NATAL,Colisão lateral,Com Vítimas Feridas,-5.857612,-35.212723
2019-01-19,20:30:00,101.0,85,NATAL,Atropelamento de Pedestre,Com Vítimas Feridas,-5.777664,-35.249371
2019-01-19,20:30:00,101.0,85,NATAL,Atropelamento de Pedestre,Com Vítimas Feridas,-5.777664,-35.249371
2019-01-19,20:30:00,101.0,85,NATAL,Atropelamento de Pedestre,Com Vítimas Feridas,-5.777664,-35.249371
2019-01-19,21:45:00,304.0,123,ITAJA,Atropelamento de Animal,Com Vítimas Feridas,-5.65378,-36.815922
2019-01-20,22:45:00,101.0,78,NATAL,Colisão transversal,Com Vítimas Feridas,-5.740798,-35.290199
2019-01-20,22:45:00,101.0,78,NATAL,Colisão transversal,Com Vítimas Feridas,-5.740798,-35.290199
2019-01-20,22:45:00,101.0,78,NATAL,Colisão transversal,Com Vítimas Feridas,-5.740798,-35.290199
2019-01-20,22:45:00,101.0,78,NATAL,Colisão transversal,Com Vítimas Feridas,-5.740798,-35.290199
2019-01-21,16:30:00,304.0,116,ITAJA,Colisão lateral,Com Vítimas Feridas,-5.629953,-36.864231
2019-01-21,16:30:00,304.0,116,ITAJA,Colisão lateral,Com Vítimas Feridas,-5.629953,-36.864231
2019-01-21,16:30:00,304.0,116,ITAJA,Colisão lateral,Com Vítimas Feridas,-5.629953,-36.864231
2019-01-21,16:30:00,304.0,116,ITAJA,Colisão lateral,Com Vítimas Feridas,-5.629953,-36.864231
2019-01-22,10:00:00,101.0,107,PARNAMIRIM,Colisão lateral,Sem Vítimas,-5.919193,-35.264118
2019-01-22,10:00:00,101.0,107,PARNAMIRIM,Colisão lateral,Sem Vítimas,-5.919193,-35.264118
2019-01-24,02:50:00,304.0,210,CAICARA DO RIO DO VENTO,Colisão traseira,Com Vítimas Feridas,-5.757041,-35.988892
2019-01-24,02:50:00,304.0,210,CAICARA DO RIO DO VENTO,Colisão traseira,Com Vítimas Feridas,-5.757041,-35.988892
2019-01-24,10:10:00,405.0,2,MOSSORO,Colisão transversal,Com Vítimas Feridas,-5.192827,-37.371124
2019-01-24,10:10:00,405.0,2,MOSSORO,Colisão transversal,Com Vítimas Feridas,-5.192827,-37.371124
2019-01-24,10:10:00,405.0,2,MOSSORO,Colisão transversal,Com Vítimas Feridas,-5.192827,-37.371124
2019-01-25,13:50:00,226.0,12,MACAIBA,Colisão traseira,Com Vítimas Feridas,-5.847669,-35.312698
2019-01-25,13:50:00,226.0,12,MACAIBA,Colisão traseira,Com Vítimas Feridas,-5.847669,-35.312698
2019-01-25,13:50:00,226.0,12,MACAIBA,Colisão traseira,Com Vítimas Feridas,-5.847669,-35.312698
2019-01-25,13:50:00,226.0,12,MACAIBA,Colisão traseira,Com Vítimas Feridas,-5.847669,-35.312698
2019-01-25,18:35:00,406.0,116,POCO BRANCO,Atropelamento de Animal,Com Vítimas Feridas,-5.57771698,-35.68771362
2019-01-25,18:35:00,406.0,116,POCO BRANCO,Atropelamento de Animal,Com Vítimas Feridas,-5.57771698,-35.68771362
2019-01-25,18:35:00,406.0,116,POCO BRANCO,Atropelamento de Animal,Com Vítimas Feridas,-5.57771698,-35.68771362
2019-01-25,18:35:00,406.0,116,POCO BRANCO,Atropelamento de Animal,Com Vítimas Feridas,-5.57771698,-35.68771362
2019-01-26,08:30:00,101.0,135,SAO JOSE DE MIPIBU,Colisão traseira,Com Vítimas Feridas,-6.164453,-35.224861
2019-01-26,08:30:00,101.0,135,SAO JOSE DE MIPIBU,Colisão traseira,Com Vítimas Feridas,-6.164453,-35.224861
2019-01-27,04:30:00,406.0,170,SAO GONCALO DO AMARANTE,Colisão com objeto estático,Sem Vítimas,-5.75917255,-35.29731274
2019-01-27,04:30:00,406.0,170,SAO GONCALO DO AMARANTE,Saída de leito carroçável,Sem Vítimas,-5.75917255,-35.29731274
2019-01-27,12:10:00,406.0,169,SAO GONCALO DO AMARANTE,Tombamento,Com Vítimas Feridas,-5.756651,-35.304758
2019-01-27,12:10:00,406.0,169,SAO GONCALO DO AMARANTE,Tombamento,Com Vítimas Feridas,-5.756651,-35.304758
2019-01-27,12:10:00,406.0,169,SAO GONCALO DO AMARANTE,Tombamento,Com Vítimas Feridas,-5.756651,-35.304758
2019-01-27,12:10:00,406.0,169,SAO GONCALO DO AMARANTE,Tombamento,Com Vítimas Feridas,-5.756651,-35.304758
2019-01-27,12:10:00,406.0,169,SAO GONCALO DO AMARANTE,Colisão transversal,Com Vítimas Feridas,-5.756651,-35.304758
2019-01-27,12:10:00,406.0,169,SAO GONCALO DO AMARANTE,Colisão transversal,Com Vítimas Feridas,-5.756651,-35.304758
2019-01-27,12:10:00,406.0,169,SAO GONCALO DO AMARANTE,Colisão transversal,Com Vítimas Feridas,-5.756651,-35.304758
2019-01-27,12:10:00,406.0,169,SAO GONCALO DO AMARANTE,Colisão transversal,Com Vítimas Feridas,-5.756651,-35.304758
2019-01-29,07:45:00,101.0,106,PARNAMIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.910553,-35.261307
2019-01-29,07:45:00,101.0,106,PARNAMIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.910553,-35.261307
2019-01-29,07:45:00,101.0,106,PARNAMIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.910553,-35.261307
2019-01-29,07:45:00,101.0,106,PARNAMIRIM,Atropelamento de Pedestre,Com Vítimas Feridas,-5.910553,-35.261307
2019-01-29,07:45:00,101.0,106,PARNAMIRIM,Atropelamento de Pedestre,Com Vítimas Feridas,-5.910553,-35.261307
2019-01-29,07:45:00,101.0,106,PARNAMIRIM,Atropelamento de Pedestre,Com Vítimas Feridas,-5.910553,-35.261307
2019-01-29,10:00:00,427.0,98,CAICO,Colisão transversal,Com Vítimas Feridas,-6.46277807,-37.09384561
2019-01-29,10:00:00,427.0,98,CAICO,Colisão transversal,Com Vítimas Feridas,-6.46277807,-37.09384561
2019-01-27,04:30:00,406.0,125,TAIPU,Atropelamento de Animal,Com Vítimas Feridas,-5.59821846,-35.62213898
2019-01-30,12:35:00,101.0,95,NATAL,Colisão lateral,Sem Vítimas,-5.840768,-35.210358
2019-01-30,12:35:00,101.0,95,NATAL,Colisão lateral,Sem Vítimas,-5.840768,-35.210358
2019-01-30,12:35:00,101.0,95,NATAL,Colisão lateral,Sem Vítimas,-5.840768,-35.210358
2019-01-30,12:35:00,101.0,95,NATAL,Colisão lateral,Sem Vítimas,-5.840768,-35.210358
2019-01-30,13:40:00,101.0,99,NATAL,Colisão transversal,Com Vítimas Feridas,-5.87365,-35.220673
2019-01-30,13:40:00,101.0,99,NATAL,Colisão transversal,Com Vítimas Feridas,-5.87365,-35.220673
2019-01-30,14:10:00,101.0,97,NATAL,Engavetamento,Com Vítimas Feridas,-5.857612,-35.212723
2019-01-30,14:10:00,101.0,97,NATAL,Engavetamento,Com Vítimas Feridas,-5.857612,-35.212723
2019-01-30,14:10:00,101.0,97,NATAL,Engavetamento,Com Vítimas Feridas,-5.857612,-35.212723
2019-01-30,14:10:00,101.0,97,NATAL,Engavetamento,Com Vítimas Feridas,-5.857612,-35.212723
2019-01-30,14:10:00,101.0,97,NATAL,Engavetamento,Com Vítimas Feridas,-5.857612,-35.212723
2019-01-30,14:10:00,101.0,97,NATAL,Engavetamento,Com Vítimas Feridas,-5.857612,-35.212723
2019-01-30,14:41:00,101.0,130,SAO JOSE DE MIPIBU,Capotamento,Com Vítimas Fatais,-6.119429,-35.229355
2019-01-30,14:41:00,101.0,130,SAO JOSE DE MIPIBU,Capotamento,Com Vítimas Fatais,-6.119429,-35.229355
2019-01-30,14:41:00,101.0,130,SAO JOSE DE MIPIBU,Saída de leito carroçável,Com Vítimas Fatais,-6.119429,-35.229355
2019-01-30,14:41:00,101.0,130,SAO JOSE DE MIPIBU,Saída de leito carroçável,Com Vítimas Fatais,-6.119429,-35.229355
2019-01-30,14:41:00,101.0,130,SAO JOSE DE MIPIBU,Colisão com objeto estático,Com Vítimas Fatais,-6.119429,-35.229355
2019-01-30,14:41:00,101.0,130,SAO JOSE DE MIPIBU,Colisão com objeto estático,Com Vítimas Fatais,-6.119429,-35.229355
2019-01-30,22:00:00,304.0,34,MOSSORO,Atropelamento de Pedestre,Com Vítimas Feridas,-5.152564,-37.34874
2019-01-30,22:00:00,304.0,34,MOSSORO,Atropelamento de Pedestre,Com Vítimas Feridas,-5.152564,-37.34874
2019-01-30,22:00:00,304.0,34,MOSSORO,Atropelamento de Pedestre,Com Vítimas Feridas,-5.152564,-37.34874
2019-01-30,22:00:00,304.0,34,MOSSORO,Atropelamento de Pedestre,Com Vítimas Feridas,-5.152564,-37.34874
2019-02-01,00:20:00,101.0,99,NATAL,Colisão lateral,Com Vítimas Feridas,-5.87365,-35.220673
2019-02-01,00:20:00,101.0,99,NATAL,Colisão lateral,Com Vítimas Feridas,-5.87365,-35.220673
2019-02-02,10:30:00,226.0,166,CURRAIS NOVOS,Tombamento,Com Vítimas Feridas,-6.204627,-36.402527
2019-02-02,10:30:00,226.0,166,CURRAIS NOVOS,Tombamento,Com Vítimas Feridas,-6.204627,-36.402527
2019-02-02,10:30:00,226.0,166,CURRAIS NOVOS,Tombamento,Com Vítimas Feridas,-6.204627,-36.402527
2019-02-03,06:47:00,304.0,289,MACAIBA,Colisão traseira,Com Vítimas Feridas,-5.864849,-35.349312
2019-02-03,06:47:00,304.0,289,MACAIBA,Colisão traseira,Com Vítimas Feridas,-5.864849,-35.349312
2019-02-03,06:47:00,304.0,289,MACAIBA,Colisão traseira,Com Vítimas Feridas,-5.864849,-35.349312
2019-02-03,06:47:00,304.0,289,MACAIBA,Colisão traseira,Com Vítimas Feridas,-5.864849,-35.349312
2019-02-03,17:50:00,304.0,50,MOSSORO,Tombamento,Com Vítimas Feridas,-5.253801,-37.307918
2019-02-03,17:50:00,304.0,50,MOSSORO,Tombamento,Com Vítimas Feridas,-5.253801,-37.307918
2019-02-03,19:00:00,405.0,146,CEARA-MIRIM,Colisão frontal,Com Vítimas Feridas,-5.64507088,-35.46878457
2019-02-03,19:00:00,405.0,146,CEARA-MIRIM,Colisão frontal,Com Vítimas Feridas,-5.64507088,-35.46878457
2019-02-03,19:00:00,405.0,146,CEARA-MIRIM,Colisão frontal,Com Vítimas Feridas,-5.64507088,-35.46878457
2019-02-04,07:20:00,304.0,41,MOSSORO,Colisão frontal,Com Vítimas Feridas,-5.204859,-37.376148
2019-02-04,07:20:00,304.0,41,MOSSORO,Colisão frontal,Com Vítimas Feridas,-5.204859,-37.376148
2019-02-04,07:20:00,406.0,156,CEARA-MIRIM,Colisão traseira,Com Vítimas Feridas,-5.67577584,-35.4006958
2019-02-04,07:20:00,406.0,156,CEARA-MIRIM,Colisão traseira,Com Vítimas Feridas,-5.67577584,-35.4006958
2019-02-04,17:15:00,304.0,47,MOSSORO,Queda de ocupante de veículo,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Queda de ocupante de veículo,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Queda de ocupante de veículo,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Queda de ocupante de veículo,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Queda de ocupante de veículo,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Queda de ocupante de veículo,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Queda de ocupante de veículo,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Queda de ocupante de veículo,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Queda de ocupante de veículo,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Tombamento,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Tombamento,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Tombamento,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Tombamento,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Tombamento,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Tombamento,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Tombamento,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Tombamento,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Tombamento,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Colisão traseira,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Colisão traseira,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Colisão traseira,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Colisão traseira,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Colisão traseira,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Colisão traseira,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Colisão traseira,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Colisão traseira,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-04,17:15:00,304.0,47,MOSSORO,Colisão traseira,Com Vítimas Feridas,-5.2267718,-37.3230583
2019-02-07,12:30:00,101.0,107,PARNAMIRIM,Colisão transversal,Sem Vítimas,-5.919193,-35.264118
2019-02-07,12:30:00,101.0,107,PARNAMIRIM,Colisão transversal,Sem Vítimas,-5.919193,-35.264118
2019-02-07,14:15:00,304.0,184,ANGICOS,Saída de leito carroçável,Com Vítimas Feridas,-5.690064,-36.302021
2019-02-07,14:15:00,304.0,184,ANGICOS,Saída de leito carroçável,Com Vítimas Feridas,-5.690064,-36.302021
2019-02-07,14:15:00,304.0,184,ANGICOS,Saída de leito carroçável,Com Vítimas Feridas,-5.690064,-36.302021
2019-02-07,14:15:00,304.0,184,ANGICOS,Saída de leito carroçável,Com Vítimas Feridas,-5.690064,-36.302021
2019-02-07,14:15:00,304.0,184,ANGICOS,Capotamento,Com Vítimas Feridas,-5.690064,-36.302021
2019-02-07,14:15:00,304.0,184,ANGICOS,Capotamento,Com Vítimas Feridas,-5.690064,-36.302021
2019-02-07,14:15:00,304.0,184,ANGICOS,Capotamento,Com Vítimas Feridas,-5.690064,-36.302021
2019-02-07,14:15:00,304.0,184,ANGICOS,Capotamento,Com Vítimas Feridas,-5.690064,-36.302021
2019-02-08,06:05:00,101.0,108,PARNAMIRIM,Colisão lateral,Com Vítimas Feridas,-5.92823,-35.264656
2019-02-08,06:05:00,101.0,108,PARNAMIRIM,Colisão lateral,Com Vítimas Feridas,-5.92823,-35.264656
2019-02-09,04:30:00,406.0,156,CEARA-MIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.67577584,-35.4006958
2019-02-09,04:30:00,406.0,156,CEARA-MIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.67577584,-35.4006958
2019-02-12,18:15:00,226.0,55,SENADOR ELOI DE SOUZA,Colisão com objeto em movimento,Sem Vítimas,-6.02469561,-35.65889597
2019-02-13,07:10:00,110.0,46,MOSSORO,Colisão transversal,Com Vítimas Feridas,-5.203384,-37.325634
2019-02-13,07:10:00,110.0,46,MOSSORO,Colisão transversal,Com Vítimas Feridas,-5.203384,-37.325634
2019-02-13,07:25:00,101.0,73,NATAL,Colisão transversal,Com Vítimas Feridas,-5.706872,-35.266884
2019-02-13,07:25:00,101.0,73,NATAL,Colisão transversal,Com Vítimas Feridas,-5.706872,-35.266884
2019-02-13,11:50:00,101.0,127,SAO JOSE DE MIPIBU,Colisão traseira,Com Vítimas Feridas,-6.095275,-35.234322
2019-02-13,11:50:00,101.0,127,SAO JOSE DE MIPIBU,Colisão traseira,Com Vítimas Feridas,-6.095275,-35.234322
2019-02-14,19:45:00,406.0,169,SAO GONCALO DO AMARANTE,Colisão lateral,Com Vítimas Feridas,-5.756651,-35.304758
2019-02-14,19:45:00,406.0,169,SAO GONCALO DO AMARANTE,Colisão lateral,Com Vítimas Feridas,-5.756651,-35.304758
2019-02-14,19:45:00,406.0,169,SAO GONCALO DO AMARANTE,Colisão lateral,Com Vítimas Feridas,-5.756651,-35.304758
2019-02-15,12:50:00,406.0,134,TAIPU,Colisão lateral,Sem Vítimas,-5.655854,-35.570903
2019-02-15,12:50:00,406.0,134,TAIPU,Colisão lateral,Sem Vítimas,-5.655854,-35.570903
2019-02-15,12:50:00,406.0,134,TAIPU,Colisão lateral,Sem Vítimas,-5.655854,-35.570903
2019-02-15,12:50:00,406.0,134,TAIPU,Colisão lateral,Sem Vítimas,-5.655854,-35.570903
2019-02-18,12:55:00,304.0,284,MACAIBA,Queda de ocupante de veículo,Com Vítimas Feridas,-5.889564,-35.489544
2019-02-18,12:55:00,304.0,284,MACAIBA,Queda de ocupante de veículo,Com Vítimas Feridas,-5.889564,-35.489544
2019-02-18,12:55:00,304.0,284,MACAIBA,Queda de ocupante de veículo,Com Vítimas Feridas,-5.889564,-35.489544
